"Name","Starts","Ends","Track","Description","Speaker","Company","Twitter"
"Registration","06/04/2019 08:00","06/04/2019 09:00","","Check in at our friendly registration desks! All you need is your name and your registration ID (invoice number). You'll receive your conference materials and badge, grab a coffee, and find a seat in the big Leibniz Hall. May the Games begin!","","",""
"Opening Ceremony","06/04/2019 09:00","06/04/2019 09:30","Track 1","In our Opening Ceremony, we welcome our PowerShell Gladiators and our delegates from 35 countries and kick off this conference. You'll get a quick orientation of what to expect and how to make the most of it.","Tobias Weltner","ISESteroids","tobiaspsp"
"Keynote","06/04/2019 09:30","06/04/2019 10:30","","PowerShell inventor Jeffrey Snover himself opens this conference with his keynote the content of which is still secret of course.","","",""
"Coffee Break","06/04/2019 10:30","06/04/2019 11:00","","","","",""
"Not so fast! Why my laser-focused goal of reaching blazing speeds was all wrong.","06/04/2019 11:00","06/04/2019 12:00","Track 2","Ever wrote code you regret? I once gave a talk about importing CSV to SQL Server at blazing speeds. The session even came with its own command! A command that was mostly unusable in the real world ???? Join me as I dissect my old code and share what I did differently in the new rewrite.
Ever wrote code you regret? I once gave a talk about importing CSV to SQL Server at blazing speeds. The session even came with its own command, Import-CsvToSql.

The speed was addictive: 260,000 rows per second! But that speed came at the cost of reliability. Only a small number of my CSV files were perfect enough to parse. Frustrated, I found myself looking for other tools. I never used my own command, because I never expected it to work.

Countless GitHub issues later, I rewrote the entire command with a newly found focus on reliability and user-enjoyability. Join me as I highlight the issues with my old code and share what I did differently in the rewrite of what is now Import-DbaCsv.","Chrissy LeMaire","NATO Special Ops HQ","cl"
"How Memory Usage affects Performance","06/04/2019 11:00","06/04/2019 12:00","Track 3","In this session you'll learn how Memory Usage effects Performance, and how you can speed up your scripts by coding accordingly.<br />This session will be centered around memory usage patterns and its effect on performance. As a case study we look at Import-CSV and the Json cmdlets to see the effect on memory allocation and GC pressure. By changing the code to be allocate less, we can show significant performance improvements. We will touch on the Garbage Collector, it’s generational behavior and take a high level view of what the garbage collector needs to do. The session will introduce dotMemory – a tool to analyze the memory allocation patterns of a program, and the cost of these allocations. In the end we’ll go nuclear – Rewriting PSObject to use significantly less memory. This is achieved by taking a look at the memory layout of a PSObject, and using that knowledge to remove unnecessary sub-objects, saving on the object headers, shared lock objects, less pointer chasing etc. The beginning of this session should be easy to follow along for the more technically interested part of the community. The last part of the session will be quite low level.","Staffan Gustafsson","Dice","StaffanGson"
"Show me all your Passwords...","06/04/2019 11:00","06/04/2019 12:00","Track 1","When it comes to passwords, we all have bad habits, let's admit it. And I know some of yours... In this session, we will see how bad we really are, and see how a few lines of PowerShell can help an attacker find passwords all over the place, or help a defender find them before the attacker does...
You, Your Passwords, and some PowerShell One-liners...

When it comes to passwords, we all have bad habits, let's admit it. And I know some of yours... In this session, we will see how bad we really are, and see how a few lines of PowerShell can help an attacker find passwords all over the place, or help a defender find them before the attacker does...
This security flavored session will give us the opportunity to remind some best practices when it comes to dealing with passwords, but mostly be a pretext to have a look at some PowerShell code and various techniques that can be used to find passwords on a system.

If you use passwords, this session is aimed at you...","Walter Legowski","","sadprocessor"
"Lunch Break","06/04/2019 12:00","06/04/2019 13:00","","","","",""
"LunchBreak Session 1","06/04/2019 12:00","06/04/2019 13:00","Track 2","This session is for delegates and last-minute ideas. If you ever wanted to present, here is your chance to test-drive! Come and cheer up your peers while enjoying your lunch, and listen to various real-life topics from the field. All attendees can apply for lunchbreak sessions during the conference. The presentations will be published during the conference.","","",""
"LunchBreak Session 2","06/04/2019 12:00","06/04/2019 13:00","Track 3","This session is for delegates and last-minute ideas. If you ever wanted to present, here is your chance to test-drive! Come and cheer up your peers while enjoying your lunch, and listen to various real-life topics from the field. All attendees can apply for lunchbreak sessions during the conference. The presentations will be published during the conference.","","",""
